0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,32,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10
32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,32,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
24,1,20,10,10,10,10,10,10,10,10,10,10,10,21,10,10,19,2,1,2,31,3,20,21,10,10,10,10,10,10,10,10,10,10,10,21,19,3,2
31,1,16,30,29,4,6,6,30,15,3,1,32,3,16,28,15,1,24,1,16,4,30,6,5,15,1,3,1,32,3,4,5,6,15,1,3,31,22,23
5,14,8,7,9,27,8,8,7,7,26,15,1,16,9,9,7,13,5,14,7,7,9,26,25,7,13,14,13,5,14,9,7,25,26,13,6,15,16,5

